"member_casual","month","total_rides","avg_ride_mins","month_order"
"casual","January","23405","11.97",1
"casual","February","27003","12.38",2
"casual","March","82864","17.89",3
"casual","April","105260","18.66",4
"casual","May","175655","20.83",5
"casual","June","278702","21.91",6
"casual","July","308446","21.44",7
"casual","August","323533","21.71",8
"casual","September","254727","19.55",9
"casual","October","214380","18.09",10
"casual","November","94719","15.46",11
"casual","December","27112","12.93",12
"member","January","112331","9.98",1
"member","February","122097","9.96",2
"member","March","208458","11.13",3
"member","April","257921","11.27",4
"member","May","313996","11.90",5
"member","June","379523","12.85",6
"member","July","430394","13.15",7
"member","August","443130","13.08",8
"member","September","440954","12.62",9
"member","October","414094","12.12",10
"member","November","251924","11.68",11
"member","December","109380","11.68",12
